parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	121296
num_scenarios	11673330234144325632
num_states_per_node_avg	1.0005358791716132
num_tips	101776
num_unresolved_nodes	61
percentage_of_unresolved_nodes	0.05029019918216594
steps	7938
