parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	115873
num_scenarios	243194379878006784
num_states_per_node_avg	1.0005091781519422
num_tips	97155
num_unresolved_nodes	56
percentage_of_unresolved_nodes	0.04832877374366763
steps	7743
