parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	112181
num_scenarios	124515522497539473408
num_states_per_node_avg	1.000606163254027
num_tips	94075
num_unresolved_nodes	65
percentage_of_unresolved_nodes	0.057942075752578426
steps	7616
