parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	106529
num_scenarios	2581953874508978520588288
num_states_per_node_avg	1.0007885176806315
num_tips	89454
num_unresolved_nodes	77
percentage_of_unresolved_nodes	0.0722807873912268
steps	7343
