parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	115869
num_scenarios	121597189939003392
num_states_per_node_avg	1.0005005652935643
num_tips	97155
num_unresolved_nodes	55
percentage_of_unresolved_nodes	0.0474673985276476
steps	7768
