parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	112190
num_scenarios	972777519512027136
num_states_per_node_avg	1.0005437204741956
num_tips	94075
num_unresolved_nodes	58
percentage_of_unresolved_nodes	0.05169801230056155
steps	7623
