strain,country
EPI_ISL_402125,Asia / China
EPI_ISL_9388907,Asia / India
EPI_ISL_9388908,Asia / India
EPI_ISL_9388909,Asia / India
EPI_ISL_791809,North America / USA
EPI_ISL_523457,Europe / Netherlands
EPI_ISL_8525793,Africa / Senegal
EPI_ISL_824418,Europe / Spain
EPI_ISL_539548,Europe / Spain
EPI_ISL_691665,Europe / Spain
EPI_ISL_824421,Europe / Spain
EPI_ISL_824423,Europe / Spain
EPI_ISL_824424,Europe / Spain
EPI_ISL_824427,Europe / Spain
EPI_ISL_824428,Europe / Spain
EPI_ISL_6595287,Europe / Spain
EPI_ISL_732806,Europe / Spain
EPI_ISL_733500,Africa / Tunisia
EPI_ISL_2404890,Europe / Spain
EPI_ISL_1311776,Europe / Netherlands
EPI_ISL_2404889,Europe / Spain
EPI_ISL_2404900,Europe / Spain
EPI_ISL_2404903,Europe / Spain
EPI_ISL_2404902,Europe / Spain
EPI_ISL_2404898,Europe / Spain
EPI_ISL_1382938,Europe / Spain
EPI_ISL_940403,Europe / France
EPI_ISL_940402,Europe / France
EPI_ISL_1382936,Europe / Spain
EPI_ISL_1382933,Europe / Spain
EPI_ISL_1382934,Europe / Spain
EPI_ISL_1382937,Europe / Spain
EPI_ISL_1382935,Europe / Spain
EPI_ISL_824436,Europe / Spain
EPI_ISL_824439,Europe / Spain
EPI_ISL_734797,Europe / Belgium
EPI_ISL_732777,Europe / Spain
EPI_ISL_671854,Europe / Spain
EPI_ISL_1382932,Europe / Spain
EPI_ISL_1382902,Europe / Spain
EPI_ISL_824413,Europe / Spain
EPI_ISL_824445,Europe / Spain
EPI_ISL_1382931,Europe / Spain
EPI_ISL_1382930,Europe / Spain
EPI_ISL_2404915,Europe / Spain
EPI_ISL_2404913,Europe / Spain
EPI_ISL_2404911,Europe / Spain
EPI_ISL_2404908,Europe / Spain
EPI_ISL_671851,Europe / Spain
EPI_ISL_2404909,Europe / Spain
EPI_ISL_2404914,Europe / Spain
EPI_ISL_541886,Europe / Spain
EPI_ISL_541887,Europe / Spain
EPI_ISL_734812,Europe / Belgium
EPI_ISL_734813,Europe / Belgium
EPI_ISL_824451,Europe / Spain
EPI_ISL_541890,Europe / Spain
EPI_ISL_824450,Europe / Spain
EPI_ISL_510775,Europe / Switzerland
EPI_ISL_4548935,Europe / Spain
EPI_ISL_824452,Europe / Spain
EPI_ISL_512092,Republic of Ireland
EPI_ISL_671797,Europe / Spain
EPI_ISL_671799,Europe / Spain
EPI_ISL_2404916,Europe / Spain
EPI_ISL_2404917,Europe / Spain
EPI_ISL_2404921,Europe / Spain
EPI_ISL_2404919,Europe / Spain
EPI_ISL_2404920,Europe / Spain
EPI_ISL_541892,Europe / Spain
EPI_ISL_824455,Europe / Spain
EPI_ISL_824414,Europe / Spain
