strain,country
EPI_ISL_660272,Europe / Spain
EPI_ISL_4953179,Europe / France
EPI_ISL_4952339,Europe / France
EPI_ISL_4952647,Europe / France
EPI_ISL_4952697,Europe / France
EPI_ISL_4952140,Europe / France
EPI_ISL_4952155,Europe / France
EPI_ISL_4952207,Europe / France
EPI_ISL_4952244,Europe / France
EPI_ISL_4952278,Europe / France
EPI_ISL_4952391,Europe / France
EPI_ISL_4952419,Europe / France
EPI_ISL_4952105,Europe / France
EPI_ISL_4952571,Europe / France
EPI_ISL_4952726,Europe / France
EPI_ISL_4952662,Europe / France
EPI_ISL_4952751,Europe / France
EPI_ISL_4952772,Europe / France
EPI_ISL_4952427,Europe / France
EPI_ISL_3800811,Europe / Italy
EPI_ISL_549064,Europe / Norway
EPI_ISL_549066,Europe / Norway
EPI_ISL_660273,Europe / Spain
EPI_ISL_660271,Europe / Spain
EPI_ISL_541906,Europe / Spain
EPI_ISL_1272513,Europe / Spain
EPI_ISL_2017510,Europe / Spain
EPI_ISL_523729,Europe / Netherlands
EPI_ISL_516563,Europe / Switzerland
EPI_ISL_532070,Scotland
EPI_ISL_3800812,Europe / Italy
EPI_ISL_949213,Europe / Spain
EPI_ISL_1272418,Europe / Spain
EPI_ISL_541908,Europe / Spain
EPI_ISL_622731,Europe / Denmark
EPI_ISL_581936,Europe / Switzerland
EPI_ISL_732754,Europe / Spain
EPI_ISL_1015276,Europe / France
EPI_ISL_824461,Europe / Spain
EPI_ISL_1272519,Europe / Spain
EPI_ISL_660277,Europe / Spain
EPI_ISL_541907,Europe / Spain
EPI_ISL_532030,Wales
EPI_ISL_549073,Europe / Norway
EPI_ISL_549087,Europe / Norway
EPI_ISL_517588,Scotland
EPI_ISL_549072,Europe / Norway
EPI_ISL_531935,Scotland
EPI_ISL_541912,Europe / Spain
EPI_ISL_549127,Europe / Norway
EPI_ISL_1272524,Europe / Spain
EPI_ISL_1272518,Europe / Spain
EPI_ISL_549074,Europe / Norway
EPI_ISL_532077,Scotland
EPI_ISL_549062,Europe / Norway
EPI_ISL_3800813,Europe / Italy
EPI_ISL_541913,Europe / Spain
EPI_ISL_541916,Europe / Spain
EPI_ISL_654053,Europe / Spain
EPI_ISL_549126,Europe / Norway
EPI_ISL_516578,Europe / Switzerland
EPI_ISL_734906,Europe / Belgium
EPI_ISL_541915,Europe / Spain
EPI_ISL_541911,Europe / Spain
EPI_ISL_549130,Europe / Norway
EPI_ISL_549136,Europe / Norway
EPI_ISL_532131,Scotland
EPI_ISL_660278,Europe / Spain
EPI_ISL_660280,Europe / Spain
EPI_ISL_531943,Scotland
EPI_ISL_532098,Scotland
EPI_ISL_660279,Europe / Spain
EPI_ISL_569046,Europe / France
EPI_ISL_549131,Europe / Norway
EPI_ISL_949236,Europe / Spain
EPI_ISL_549133,Europe / Norway
EPI_ISL_660281,Europe / Spain
EPI_ISL_660282,Europe / Spain
EPI_ISL_549135,Europe / Norway
EPI_ISL_3031182,Europe / Norway
EPI_ISL_549134,Europe / Norway
EPI_ISL_549139,Europe / Norway
EPI_ISL_660286,Europe / Spain
EPI_ISL_549137,Europe / Norway
EPI_ISL_1272510,Europe / Spain
EPI_ISL_2426032,Europe / Norway
EPI_ISL_2333530,Europe / Norway
EPI_ISL_549138,Europe / Norway
EPI_ISL_2426033,Europe / Norway
EPI_ISL_549142,Europe / Norway
EPI_ISL_549141,Europe / Norway
EPI_ISL_549144,Europe / Norway
EPI_ISL_541917,Europe / Spain
EPI_ISL_2612261,Europe / Norway
EPI_ISL_1272509,Europe / Spain
EPI_ISL_660283,Europe / Spain
EPI_ISL_1272525,Europe / Spain
EPI_ISL_2333539,Europe / Norway
EPI_ISL_660285,Europe / Spain
EPI_ISL_660287,Europe / Spain
EPI_ISL_6595286,Europe / Spain
EPI_ISL_660284,Europe / Spain
EPI_ISL_1272517,Europe / Spain
EPI_ISL_654054,Europe / Spain
EPI_ISL_2285155,Europe / Spain
EPI_ISL_3800815,Europe / Italy
EPI_ISL_654055,Europe / Spain
EPI_ISL_2017560,Europe / Spain
EPI_ISL_1272520,Europe / Spain
EPI_ISL_2491445,Europe / Norway
