parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	117683
num_scenarios	243194379878006784
num_states_per_node_avg	1.0005013468385409
num_tips	98695
num_unresolved_nodes	56
percentage_of_unresolved_nodes	0.047585462641163125
steps	7827
