parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	115841
num_scenarios	93386641873154605056
num_states_per_node_avg	1.000587011507152
num_tips	97155
num_unresolved_nodes	64
percentage_of_unresolved_nodes	0.0552481418496042
steps	7764
