parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	119488
num_scenarios	486388759756013568
num_states_per_node_avg	1.0005021424745582
num_tips	100236
num_unresolved_nodes	57
percentage_of_unresolved_nodes	0.04770353508302089
steps	7843
