tip,cluster,timepoint
EPI_ISL_2363199,7,D
EPI_ISL_2893050,7,D
EPI_ISL_10135405,7,D
EPI_ISL_2862402,7,D
EPI_ISL_2984258,7,D
EPI_ISL_2627588,7,D
EPI_ISL_2932034,7,D
EPI_ISL_2131856,7,D
EPI_ISL_3535353,7,D
EPI_ISL_3356230,7,D
EPI_ISL_2984390,7,D
EPI_ISL_10134926,7,D
EPI_ISL_3045710,7,D
EPI_ISL_2984388,7,D
EPI_ISL_3058350,7,D
EPI_ISL_2932002,7,D
EPI_ISL_2932222,7,D
EPI_ISL_2710712,7,D
EPI_ISL_3136425,7,D
EPI_ISL_10139330,7,D
EPI_ISL_10133322,7,D
EPI_ISL_3136417,7,D
EPI_ISL_2931929,7,D
EPI_ISL_3739475,7,D
EPI_ISL_3136424,7,D
EPI_ISL_3716969,7,D
EPI_ISL_2627615,7,D
EPI_ISL_2612912,7,D
EPI_ISL_2612926,7,D
EPI_ISL_2862416,7,D
EPI_ISL_3118034,7,D
EPI_ISL_2158539,7,D
EPI_ISL_2131950,7,D
EPI_ISL_2984404,7,D
EPI_ISL_3356123,7,D
EPI_ISL_2893205,7,D
EPI_ISL_3247546,7,D
EPI_ISL_3204953,7,D
EPI_ISL_10129812,7,D
EPI_ISL_2933892,7,D
EPI_ISL_3535476,7,D
EPI_ISL_10130219,7,D
EPI_ISL_2612922,7,D
EPI_ISL_3011400,7,D
EPI_ISL_10137367,7,D
EPI_ISL_10129676,7,D
EPI_ISL_2984411,7,D
EPI_ISL_2893182,8,D
EPI_ISL_3118051,8,D
EPI_ISL_3088081,8,D
EPI_ISL_3088163,8,D
EPI_ISL_2932009,8,D
EPI_ISL_2968204,8,D
EPI_ISL_3205370,8,D
EPI_ISL_3204931,8,D
EPI_ISL_3088249,8,D
EPI_ISL_3011273,8,D
EPI_ISL_3011422,8,D
EPI_ISL_3058437,8,D
EPI_ISL_3154495,8,D
EPI_ISL_2984273,8,D
EPI_ISL_3374957,8,D
EPI_ISL_3011539,8,D
EPI_ISL_2893181,8,D
EPI_ISL_2932070,8,D
EPI_ISL_3058472,8,D
EPI_ISL_3204946,8,D
EPI_ISL_3118187,8,D
EPI_ISL_3088111,8,D
EPI_ISL_2968132,8,D
EPI_ISL_3058324,8,D
EPI_ISL_2893055,8,D
EPI_ISL_3468052,8,D
EPI_ISL_3356047,8,D
EPI_ISL_2893091,8,D
EPI_ISL_3136378,8,D
EPI_ISL_2931938,8,D
EPI_ISL_3030784,8,D
EPI_ISL_3011433,8,D
EPI_ISL_3205382,8,D
EPI_ISL_2931933,8,D
EPI_ISL_3716967,8,D
EPI_ISL_3058413,8,D
EPI_ISL_3045606,8,D
EPI_ISL_2968214,8,D
EPI_ISL_3154602,8,D
