parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	119476
num_scenarios	11673330234144325632
num_states_per_node_avg	1.0005440423181224
num_tips	100236
num_unresolved_nodes	61
percentage_of_unresolved_nodes	0.051056279085339315
steps	7859
