node	country
EPI_ISL_421224	Asia / China
EPI_ISL_421228	Asia / China
EPI_ISL_421225	Asia / China
EPI_ISL_455389	Asia / China
EPI_ISL_493177	Asia / China
EPI_ISL_418507	Asia / China
EPI_ISL_493154	Asia / China
EPI_ISL_493157	Asia / China
EPI_ISL_529216	Asia / China
EPI_ISL_1069199	Asia / China
EPI_ISL_414687	Asia / China
EPI_ISL_416404	Asia / China
EPI_ISL_418442	Asia / China
EPI_ISL_418506	Asia / China
EPI_ISL_412899	Asia / China
EPI_ISL_407079	Europe / Finland
EPI_ISL_454946	Asia / China
EPI_ISL_412026	Asia / China
EPI_ISL_529217	Asia / China
EPI_ISL_402124	Asia / China
EPI_ISL_411953	Asia / China
EPI_ISL_408479	Asia / China
EPI_ISL_406716	Asia / China
EPI_ISL_406717	Asia / China
EPI_ISL_429140	Europe / Russia
EPI_ISL_430297	Africa / South Africa
EPI_ISL_451338	Asia / China
EPI_ISL_451344	Asia / China
EPI_ISL_451385	Asia / China
EPI_ISL_451387	Asia / China
EPI_ISL_451388	Asia / China
EPI_ISL_451392	Asia / China
EPI_ISL_451398	Asia / China
EPI_ISL_452329	Asia / China
EPI_ISL_452351	Asia / China
EPI_ISL_452332	Asia / China
EPI_ISL_452358	Asia / China
EPI_ISL_452360	Asia / China
EPI_ISL_454904	Asia / China
EPI_ISL_454912	Asia / China
EPI_ISL_454918	Asia / China
EPI_ISL_454928	Asia / China
EPI_ISL_454933	Asia / China
EPI_ISL_454940	Asia / China
EPI_ISL_454941	Asia / China
EPI_ISL_454954	Asia / China
EPI_ISL_454955	Asia / China
EPI_ISL_454956	Asia / China
EPI_ISL_454963	Asia / China
EPI_ISL_454980	Asia / China
EPI_ISL_454981	Asia / China
EPI_ISL_1069207	Asia / China
EPI_ISL_1069208	Asia / China
EPI_ISL_1069216	Asia / China
EPI_ISL_1081197	Asia / China
EPI_ISL_1081196	Asia / China
EPI_ISL_1081195	Asia / China
EPI_ISL_1081326	Asia / China
EPI_ISL_1081340	Asia / China
EPI_ISL_1081331	Asia / China
EPI_ISL_1081311	Asia / China
EPI_ISL_1081310	Asia / China
EPI_ISL_1081324	Asia / China
EPI_ISL_1081291	Asia / China
EPI_ISL_416389	Asia / China
EPI_ISL_1069193	Asia / China
node_1.polytomy_100	Europe / Netherlands
node_1.polytomy_72	England
node_1.polytomy_94	Europe / Italy
node_1.polytomy_45	Asia / Indonesia
node_1.polytomy_48	Asia / Japan
node_1.polytomy_140	Scotland
node_1.polytomy_89	Europe / France
node_1.polytomy_102	Europe / Norway
node_1.polytomy_133	North America / USA
node_1.polytomy_110	Europe / Spain
node_1.polytomy_70	Asia / United Arab Emirates
node_1.polytomy_135	Oceania / Australia
node_1.polytomy_134	Northern Ireland
node_1.polytomy_64	Asia / Singapore
node_1.polytomy_85	Europe / Denmark
node_1.polytomy_90	Europe / Germany
node_1.polytomy_58	Asia / Oman
node_1.polytomy_117	North America / Canada
node_1.polytomy_44	Asia / India
node_1.polytomy_43	Asia / Hong Kong
node_1.polytomy_68	Asia / Thailand
node_1.polytomy_93	Europe / Iceland
node_1.polytomy_62	Asia / Qatar
node_1.polytomy_155	Wales
node_1.polytomy_77	Europe / Belgium
node_1.polytomy_53	Asia / Malaysia
node_1.polytomy_67	Asia / Taiwan
node_1.polytomy_139	Republic of Ireland
node_1.polytomy_47	Asia / Israel
node_1.polytomy_74	Europe / Austria
node_1.polytomy_50	Asia / Kazakhstan
node_1.polytomy_65	Asia / South Korea
node_1.polytomy_148	South America / Ecuador
EPI_ISL_429101	Asia / China
EPI_ISL_1040043	Asia / China
EPI_ISL_411952	Asia / China
EPI_ISL_529146	Europe / Germany
node_3	Asia / China
EPI_ISL_421258	Asia / China
EPI_ISL_454950	Asia / China
EPI_ISL_416321	Asia / China
EPI_ISL_962553	Asia / China
EPI_ISL_403936	Asia / China
EPI_ISL_429097	Asia / China
EPI_ISL_429076	Asia / China
EPI_ISL_454976	Asia / China
EPI_ISL_429074	Asia / China
EPI_ISL_429105	Asia / China
EPI_ISL_406531	Asia / China
EPI_ISL_429086	Asia / China
EPI_ISL_421257	Asia / China
EPI_ISL_429085	Asia / China
EPI_ISL_429096	Asia / China
EPI_ISL_408010	North America / USA
EPI_ISL_429102	Asia / China
EPI_ISL_429098	Asia / China
EPI_ISL_462293	Asia / Singapore
EPI_ISL_429078	Asia / China
EPI_ISL_429104	Asia / China
EPI_ISL_429100	Asia / China
EPI_ISL_429088	Asia / China
EPI_ISL_429077	Asia / China
EPI_ISL_403937	Asia / China
node_75	Republic of Ireland
node_76	England
node_78	England
node_80	England
EPI_ISL_458946	England
node_81	Asia / Indonesia
EPI_ISL_419825	Oceania / Australia
EPI_ISL_420943	Wales
EPI_ISL_443876	England
EPI_ISL_419877	Oceania / Australia
EPI_ISL_486423	Europe / Latvia
EPI_ISL_443884	England
EPI_ISL_419937	Oceania / Australia
EPI_ISL_419732	Oceania / Australia
EPI_ISL_895837	Europe / Czech Republic
EPI_ISL_530229	Oceania / Australia
EPI_ISL_2710882	Asia / Hong Kong
EPI_ISL_493180	Asia / China
node_1090.polytomy_44	Asia / India
node_1090.polytomy_53	Asia / Malaysia
node_1501	Asia / Japan
EPI_ISL_1081193	Asia / China
EPI_ISL_1069215	Asia / China
EPI_ISL_1081260	Asia / China
EPI_ISL_1069203	Asia / China
node_1549	Asia / China
EPI_ISL_452361	Asia / China
node_4556	North America / USA
EPI_ISL_451389	Asia / China
EPI_ISL_452363	Asia / China
node_4557	Asia / China
EPI_ISL_451330	Asia / China
EPI_ISL_454952	Asia / China
node_4576	Asia / China
EPI_ISL_1069206	Asia / China
node_4578	Asia / China
EPI_ISL_454953	Asia / China
node_4580	Asia / China
EPI_ISL_454979	Asia / China
EPI_ISL_451390	Asia / China
EPI_ISL_462194	Europe / Belgium
EPI_ISL_454905	Asia / China
EPI_ISL_454947	Asia / China
EPI_ISL_454973	Asia / China
EPI_ISL_451322	Asia / China
EPI_ISL_454919	Asia / China
EPI_ISL_451320	Asia / China
EPI_ISL_451319	Asia / China
EPI_ISL_451353	Asia / China
node_1548.polytomy_110	Europe / Spain
node_4618	Asia / United Arab Emirates
node_4618	Europe / Germany
EPI_ISL_698528	Asia / United Arab Emirates
EPI_ISL_452342	Asia / China
node_5550	England
EPI_ISL_718138	Asia / Malaysia
node_5558	Europe / Spain
EPI_ISL_508141	Oceania / Australia
EPI_ISL_812785	Africa / Egypt
EPI_ISL_649101	Asia / Israel
node_4590	Asia / China
node_4588.polytomy_133	North America / USA
EPI_ISL_454910	Asia / China
EPI_ISL_454913	Asia / China
EPI_ISL_454944	Asia / China
EPI_ISL_451334	Asia / China
EPI_ISL_447255	Asia / Taiwan
node_1518258	Oceania / Australia
EPI_ISL_895798	Europe / Czech Republic
EPI_ISL_450526	Europe / Poland
EPI_ISL_414430	Europe / Netherlands
EPI_ISL_525423	Asia / Oman
EPI_ISL_454934	Asia / China
node_1518273	Asia / China
EPI_ISL_455372	Asia / China
EPI_ISL_455369	Asia / China
EPI_ISL_454916	Asia / China
node_1518275	Asia / China
node_1518276	Asia / China
EPI_ISL_455378	Asia / China
EPI_ISL_455380	Asia / China
EPI_ISL_455377	Asia / China
EPI_ISL_454937	Asia / China
EPI_ISL_416354	Asia / China
node_1518278	Europe / France
node_1518279	Europe / Portugal
node_1518282	Europe / Austria
node_1518282	Europe / Czech Republic
node_1518284	Europe / Austria
node_1518284	Europe / Czech Republic
EPI_ISL_421253	Asia / China
node_1518289	Asia / China
node_1518310	Asia / China
node_1518323	Asia / China
EPI_ISL_413861	Asia / China
EPI_ISL_416367	Asia / China
EPI_ISL_414510	Asia / China
EPI_ISL_1260835	Asia / China
node_1518326	Asia / China
node_1518327	Asia / China
EPI_ISL_493166	Asia / China
EPI_ISL_451380	Asia / China
EPI_ISL_451379	Asia / China
EPI_ISL_451374	Asia / China
EPI_ISL_477175	Asia / Singapore
EPI_ISL_447621	Asia / Taiwan
EPI_ISL_411066	Asia / China
node_1518516	Asia / China
node_1518521	Asia / China
EPI_ISL_416398	Asia / China
EPI_ISL_962558	Asia / China
node_1518522	Asia / China
EPI_ISL_413522	Asia / India
EPI_ISL_416369	Asia / China
node_1518523	Asia / China
EPI_ISL_10338097	Asia / South Korea
EPI_ISL_450504	Asia / China
EPI_ISL_408670	North America / USA
EPI_ISL_406535	Asia / China
EPI_ISL_605930	Asia / China
EPI_ISL_406536	Asia / China
EPI_ISL_451327	Asia / China
node_1518515.polytomy_64	Asia / Singapore
EPI_ISL_455363	Asia / China
EPI_ISL_455367	Asia / China
EPI_ISL_454909	Asia / China
EPI_ISL_454969	Asia / China
EPI_ISL_493159	Asia / China
node_1518540	Asia / China
node_1518541	Asia / China
EPI_ISL_445329	South America / Chile
EPI_ISL_11065356	Republic of Ireland
EPI_ISL_499461	England
EPI_ISL_612191	England
EPI_ISL_410301	Asia / Nepal
EPI_ISL_848151	Republic of Ireland
EPI_ISL_445274	South America / Chile
EPI_ISL_568690	Asia / Indonesia
EPI_ISL_413596	Oceania / Australia
EPI_ISL_467376	Asia / Indonesia
EPI_ISL_413594	Oceania / Australia
EPI_ISL_427643	Oceania / Australia
EPI_ISL_766044	Asia / Indonesia
EPI_ISL_446067	Wales
node_1518551	Asia / China
EPI_ISL_410218	Asia / Taiwan
node_1518554	Asia / China
EPI_ISL_539339	Asia / China
EPI_ISL_539335	Asia / China
EPI_ISL_539333	Asia / China
EPI_ISL_539336	Asia / China
EPI_ISL_539338	Asia / China
EPI_ISL_539334	Asia / China
EPI_ISL_539337	Asia / China
EPI_ISL_428446	Asia / China
EPI_ISL_451369	Asia / China
EPI_ISL_1069201	Asia / China
EPI_ISL_419807	Oceania / Australia
EPI_ISL_443206	Asia / Singapore
EPI_ISL_416384	Asia / China
EPI_ISL_416394	Asia / China
EPI_ISL_416380	Asia / China
EPI_ISL_416353	Asia / China
EPI_ISL_416393	Asia / China
EPI_ISL_455399	Asia / China
node_1518585.polytomy_85	Europe / Denmark
EPI_ISL_529221	England
node_1518589	Asia / China
EPI_ISL_568694	Asia / Indonesia
EPI_ISL_542215	Europe / Italy
EPI_ISL_468786	Europe / Spain
EPI_ISL_489578	Scotland
EPI_ISL_3066008	Asia / Hong Kong
EPI_ISL_416336	Asia / China
EPI_ISL_469253	Asia / China
EPI_ISL_402127	Asia / China
EPI_ISL_434534	Asia / China
EPI_ISL_411955	North America / USA
EPI_ISL_529215	Asia / China
EPI_ISL_412898	Asia / China
EPI_ISL_435134	Asia / United Arab Emirates
node_1518919	Asia / China
node_1518935	Asia / China
EPI_ISL_450501	Asia / China
EPI_ISL_450489	Asia / China
EPI_ISL_450503	Asia / China
EPI_ISL_450502	Asia / China
EPI_ISL_450500	Asia / China
EPI_ISL_1039208	Asia / China
EPI_ISL_414692	Asia / China
EPI_ISL_416348	Asia / China
EPI_ISL_413857	Asia / China
EPI_ISL_406595	Asia / China
EPI_ISL_403934	Asia / China
EPI_ISL_454923	Asia / China
node_1518958	Asia / China
EPI_ISL_413613	North America / USA
EPI_ISL_416578	Asia / Japan
EPI_ISL_414483	North America / USA
EPI_ISL_413606	North America / USA
EPI_ISL_419831	Oceania / Australia
EPI_ISL_468039	Oceania / Australia
EPI_ISL_413693	Asia / China
node_1518969	Asia / Hong Kong
node_1518971	Asia / Malaysia
node_1518972	Asia / China
EPI_ISL_474979	Asia / Israel
EPI_ISL_498178	Asia / Vietnam
EPI_ISL_493163	Asia / China
node_1518980	Asia / China
EPI_ISL_804380	Europe / Netherlands
EPI_ISL_582332	North America / Canada
EPI_ISL_416340	Asia / China
EPI_ISL_411950	Asia / China
EPI_ISL_411957	Asia / China
EPI_ISL_414686	Asia / China
EPI_ISL_408486	Asia / China
EPI_ISL_421252	Asia / China
node_1518992	England
EPI_ISL_501187	Asia / Malaysia
EPI_ISL_456176	Oceania / New Zealand
EPI_ISL_451326	Asia / China
EPI_ISL_454911	Asia / China
EPI_ISL_454942	Asia / China
EPI_ISL_451391	Asia / China
EPI_ISL_451393	Asia / China
EPI_ISL_462371	Asia / Singapore
EPI_ISL_413851	Asia / China
EPI_ISL_492286	England
EPI_ISL_492676	England
EPI_ISL_690745	Asia / Japan
EPI_ISL_418269	Asia / Vietnam
EPI_ISL_418267	Asia / Vietnam
EPI_ISL_451315	Asia / China
EPI_ISL_451314	Asia / China
EPI_ISL_454924	Asia / China
EPI_ISL_449487	Asia / China
EPI_ISL_454943	Asia / China
EPI_ISL_453479	Northern Ireland
EPI_ISL_451395	Asia / China
node_1519023.polytomy_45	Asia / Indonesia
EPI_ISL_766041	Asia / Indonesia
EPI_ISL_455686	Asia / China
EPI_ISL_416474	Asia / China
EPI_ISL_418991	Asia / China
EPI_ISL_458083	Asia / Indonesia
node_1519029	Asia / Taiwan
EPI_ISL_404227	Asia / China
EPI_ISL_962570	Asia / China
EPI_ISL_438352	England
EPI_ISL_579081	Oceania / New Zealand
EPI_ISL_454958	Asia / China
EPI_ISL_454957	Asia / China
EPI_ISL_455384	Asia / China
EPI_ISL_454914	Asia / China
EPI_ISL_462287	Asia / Singapore
node_1519037	Asia / Japan
EPI_ISL_493151	Asia / China
EPI_ISL_493149	Asia / China
EPI_ISL_681893	Republic of Ireland
EPI_ISL_435133	Asia / United Arab Emirates
EPI_ISL_421235	Asia / China
EPI_ISL_421236	Asia / China
EPI_ISL_454927	Asia / China
EPI_ISL_454938	Asia / China
EPI_ISL_468347	North America / USA
node_1519049	Asia / China
EPI_ISL_574611	Asia / Indonesia
node_1519247	England
EPI_ISL_940528	Europe / France
EPI_ISL_648076	Asia / Singapore
EPI_ISL_467375	Asia / Indonesia
EPI_ISL_3568085	Oceania / Australia
EPI_ISL_418670	England
node_8	Europe / Netherlands
node_1518557	Europe / Netherlands
node_1518583	Europe / Netherlands
node_1518981	Europe / Netherlands
EPI_ISL_523197	Europe / Netherlands
EPI_ISL_413580	Europe / Netherlands
EPI_ISL_413590	Europe / Netherlands
EPI_ISL_804382	Europe / Netherlands
node_60	England
node_1487	England
node_1545	England
node_5569	England
node_1518205	England
EPI_ISL_417313	England
node_1518280	England
EPI_ISL_458610	England
node_1518329	England
node_1518336	England
node_1518337	England
node_1518342	England
EPI_ISL_539031	England
EPI_ISL_440168	England
node_1518545	England
EPI_ISL_421787	England
EPI_ISL_464535	England
node_1518555	England
node_1518576	England
EPI_ISL_420280	England
node_1518584	England
EPI_ISL_464788	England
EPI_ISL_488247	England
node_1518916	England
EPI_ISL_464201	England
EPI_ISL_488645	England
node_1518940	England
EPI_ISL_423586	England
EPI_ISL_443982	England
node_1518964	England
node_1518975	England
EPI_ISL_492665	England
EPI_ISL_425563	England
EPI_ISL_414501	England
EPI_ISL_458690	England
EPI_ISL_438460	England
EPI_ISL_441280	England
EPI_ISL_470432	England
EPI_ISL_440617	England
node_1519038	England
EPI_ISL_517395	England
node_1519045	England
EPI_ISL_440445	England
EPI_ISL_440740	England
EPI_ISL_473310	England
node_1519244	England
EPI_ISL_499813	England
EPI_ISL_440356	England
EPI_ISL_459052	England
EPI_ISL_464182	England
EPI_ISL_514466	England
EPI_ISL_534878	England
EPI_ISL_414040	England
EPI_ISL_418675	England
EPI_ISL_464181	England
EPI_ISL_464557	England
EPI_ISL_492222	England
EPI_ISL_443844	England
EPI_ISL_501606	England
EPI_ISL_414041	England
EPI_ISL_464202	England
EPI_ISL_466017	England
EPI_ISL_424052	England
EPI_ISL_415148	England
EPI_ISL_464183	England
EPI_ISL_464218	England
EPI_ISL_414044	England
EPI_ISL_414043	England
EPI_ISL_439478	England
EPI_ISL_439509	England
EPI_ISL_464978	England
EPI_ISL_514457	England
EPI_ISL_724274	England
EPI_ISL_514469	England
EPI_ISL_441709	England
EPI_ISL_514465	England
EPI_ISL_417263	England
EPI_ISL_423574	England
EPI_ISL_443007	England
EPI_ISL_443953	England
EPI_ISL_444299	England
EPI_ISL_464188	England
EPI_ISL_475286	England
EPI_ISL_440085	England
EPI_ISL_464185	England
EPI_ISL_478626	England
EPI_ISL_464186	England
EPI_ISL_464555	England
EPI_ISL_488306	England
EPI_ISL_490506	England
EPI_ISL_499821	England
EPI_ISL_441711	England
EPI_ISL_488609	England
EPI_ISL_492615	England
EPI_ISL_492530	England
EPI_ISL_484082	England
EPI_ISL_425319	England
EPI_ISL_539074	England
EPI_ISL_433714	England
EPI_ISL_448701	England
EPI_ISL_479027	England
EPI_ISL_442338	England
EPI_ISL_441084	England
node_82	Europe / Italy
EPI_ISL_5419169	Europe / Italy
EPI_ISL_5419170	Europe / Italy
EPI_ISL_5419171	Europe / Italy
EPI_ISL_5419183	Europe / Italy
node_1065	Asia / Indonesia
EPI_ISL_568686	Asia / Indonesia
EPI_ISL_437190	Asia / Indonesia
node_1518559	Asia / Indonesia
node_1518569	Asia / Indonesia
EPI_ISL_467374	Asia / Indonesia
EPI_ISL_529961	Asia / Indonesia
EPI_ISL_574604	Asia / Indonesia
EPI_ISL_759966	Asia / Indonesia
EPI_ISL_888982	Asia / Indonesia
EPI_ISL_574605	Asia / Indonesia
EPI_ISL_437191	Asia / Indonesia
EPI_ISL_529962	Asia / Indonesia
EPI_ISL_568693	Asia / Indonesia
EPI_ISL_766032	Asia / Indonesia
node_1073	Asia / Japan
node_5576	Asia / Japan
EPI_ISL_416620	Asia / Japan
EPI_ISL_416626	Asia / Japan
EPI_ISL_416612	Asia / Japan
node_1518332	Asia / Japan
EPI_ISL_416633	Asia / Japan
EPI_ISL_685780	Asia / Japan
EPI_ISL_416589	Asia / Japan
EPI_ISL_479825	Asia / Japan
EPI_ISL_728153	Asia / Japan
EPI_ISL_2304304	Asia / Japan
EPI_ISL_416591	Asia / Japan
EPI_ISL_420889	Asia / Japan
node_1518947	Asia / Japan
EPI_ISL_416583	Asia / Japan
EPI_ISL_416614	Asia / Japan
EPI_ISL_416601	Asia / Japan
EPI_ISL_416579	Asia / Japan
node_1518987	Asia / Japan
node_1519022	Asia / Japan
EPI_ISL_728207	Asia / Japan
EPI_ISL_416630	Asia / Japan
EPI_ISL_416621	Asia / Japan
EPI_ISL_416622	Asia / Japan
EPI_ISL_416566	Asia / Japan
EPI_ISL_479852	Asia / Japan
EPI_ISL_416590	Asia / Japan
EPI_ISL_728155	Asia / Japan
EPI_ISL_416609	Asia / Japan
EPI_ISL_416586	Asia / Japan
EPI_ISL_479851	Asia / Japan
EPI_ISL_727999	Asia / Japan
EPI_ISL_728000	Asia / Japan
EPI_ISL_728206	Asia / Japan
EPI_ISL_416618	Asia / Japan
EPI_ISL_416594	Asia / Japan
EPI_ISL_718273	Asia / Japan
EPI_ISL_416606	Asia / Japan
EPI_ISL_416627	Asia / Japan
EPI_ISL_416577	Asia / Japan
EPI_ISL_410532	Asia / Japan
EPI_ISL_728208	Asia / Japan
EPI_ISL_416628	Asia / Japan
EPI_ISL_685584	Asia / Japan
EPI_ISL_416574	Asia / Japan
EPI_ISL_468724	Asia / Japan
