parameter	value
pastml_version	1.9.34
character	country
method	DELTRAN
num_nodes	108448
num_scenarios	15937986879685052596224
num_states_per_node_avg	1.000691575686043
num_tips	90994
num_unresolved_nodes	72
percentage_of_unresolved_nodes	0.06639126586013573
steps	7463
